Campaign,Ad Group,Keyword,Criterion Type,Max CPC
GASP-Nonbrand,Hair Extensions Seattle,"hair extensions seattle",Phrase match,$8.00
GASP-Nonbrand,Hair Extensions Seattle,"hair extensions seattle wa",Phrase match,$7.00
GASP-Nonbrand,Hair Extensions Seattle,"best hair extensions seattle",Phrase match,$9.00
GASP-Nonbrand,Hair Extensions Seattle,"hair extension specialist seattle",Phrase match,$10.00
GASP-Nonbrand,Hair Extensions Seattle,+hair +extension +specialist +near +me,Broad match,$8.00
GASP-Nonbrand,Hair Extensions Seattle,"natural looking hair extensions seattle",Phrase match,$9.00
GASP-Nonbrand,Hair Extensions Seattle,"seattle hair extensions",Phrase match,$7.00
GASP-Nonbrand,Hair Extensions Seattle,"hair extensions specialist near me",Phrase match,$9.00
GASP-Nonbrand,Keratin Extensions,"keratin bond extensions seattle",Phrase match,$8.00
GASP-Nonbrand,Keratin Extensions,"keratin extensions seattle",Phrase match,$8.00
GASP-Nonbrand,Keratin Extensions,"keratin tip extensions seattle",Phrase match,$7.00
GASP-Nonbrand,Keratin Extensions,"i tip extensions seattle",Phrase match,$7.00
GASP-Nonbrand,Keratin Extensions,"keratin hair extensions",Phrase match,$6.00
GASP-Nonbrand,Hand-Tied Extensions,"hand tied extensions seattle",Phrase match,$7.00
GASP-Nonbrand,Hand-Tied Extensions,"hand tied hair extensions seattle",Phrase match,$7.00
GASP-Nonbrand,Hand-Tied Extensions,"beaded weft extensions seattle",Phrase match,$6.00
GASP-Nonbrand,Hand-Tied Extensions,"weft extensions seattle",Phrase match,$5.00
GASP-Nonbrand,Hand-Tied Extensions,"hand tied weft extensions",Phrase match,$6.00
GASP-Nonbrand,Tape-In Extensions,"tape in extensions seattle",Phrase match,$6.00
GASP-Nonbrand,Tape-In Extensions,"tape in hair extensions seattle",Phrase match,$6.00
GASP-Nonbrand,Tape-In Extensions,"tape extensions seattle",Phrase match,$5.00
GASP-Nonbrand,Tape-In Extensions,"tape in extensions near me",Phrase match,$7.00
GASP-Nonbrand,Tape-In Extensions,"best tape in extensions seattle",Phrase match,$7.00
GASP-Nonbrand,Hair Type Extensions,"hair extensions for thin hair",Phrase match,$8.00
GASP-Nonbrand,Hair Type Extensions,"hair extensions for fine hair",Phrase match,$8.00
GASP-Nonbrand,Hair Type Extensions,"extensions for thin hair seattle",Phrase match,$9.00
GASP-Nonbrand,Hair Type Extensions,"hair extensions that look natural",Phrase match,$8.00
GASP-Nonbrand,Hair Type Extensions,"natural hair extensions",Phrase match,$6.00
